cnn,monthly_frequency,frequency_group
1407000,8,7-8
1408000,8,7-8
1409000,8,7-8
1410000,8,7-8
1411000,8,7-8
1412000,8,7-8
1413000,8,7-8
1414000,8,7-8
1415000,8,7-8
1416000,8,7-8
1417000,8,7-8
1418000,8,7-8
1420000,8,7-8
1421000,8,7-8
1422000,8,7-8
1423000,8,7-8
1424000,8,7-8
1425000,8,7-8
1426000,8,7-8
1427000,8,7-8
1428000,8,7-8
1429000,8,7-8
1430000,8,7-8
1431000,8,7-8
1432000,8,7-8
1433000,8,7-8
1434000,8,7-8
1435000,8,7-8
1436000,8,7-8
1437000,20,17-20
1438000,20,17-20
1439000,20,17-20
1440000,20,17-20
1441000,20,17-20
1442000,20,17-20
1443000,20,17-20
1444000,20,17-20
1445000,6,6
1446000,6,6
1447000,6,6
1448000,4,4
1449000,4,4
1450000,4,4
1451000,4,4
1452000,4,4
1453000,4,4
1454000,5,5
1455000,4,4
1456000,4,4
1457000,4,4
1458000,4,4
1459000,4,4
1460000,4,4
1463000,4,4
1464000,2,2
1465000,2,2
1466000,4,4
1467000,4,4
1468000,4,4
1469000,4,4
1470000,4,4
1471000,4,4
1472000,4,4
1473000,4,4
1474000,4,4
1475000,4,4
1476000,4,4
1477000,6,6
1478000,6,6
1479000,6,6
1480000,6,6
1481000,6,6
1482000,6,6
1483000,6,6
1484000,4,4
1485000,4,4
1486000,4,4
1487000,4,4
1488000,4,4
1489000,4,4
1490000,4,4
1491000,4,4
1503000,8,7-8
1504000,8,7-8
1505000,8,7-8
1506000,8,7-8
1507000,8,7-8
1510000,8,7-8
1511000,8,7-8
1512000,8,7-8
1513000,8,7-8
1514000,8,7-8
1515000,8,7-8
1516000,8,7-8
1517000,8,7-8
1518000,8,7-8
1519000,8,7-8
1520000,8,7-8
1521000,8,7-8
1522000,16,13-16
1523000,16,13-16
1524000,16,13-16
1525000,16,13-16
1526000,16,13-16
1527000,16,13-16
1528000,16,13-16
1529000,16,13-16
1530000,6,6
1531000,6,6
1532000,6,6
1533000,4,4
1534000,4,4
1535000,4,4
1536000,4,4
1537000,4,4
1538000,4,4
1539000,4,4
1540000,4,4
1541000,4,4
1542000,4,4
1543000,4,4
1544000,4,4
1545000,4,4
1546000,4,4
1547000,4,4
1548000,4,4
1549000,4,4
1550000,4,4
1551000,6,6
1552000,6,6
1553000,6,6
1554000,6,6
1555000,6,6
1556000,6,6
1557000,6,6
1558000,4,4
1559000,4,4
1560000,4,4
1561000,4,4
1562000,4,4
1563000,6,6
1564000,4,4
1565000,4,4
1566000,4,4
1567000,4,4
1569101,2,2
1569201,2,2
1570000,4,4
1571000,4,4
1572000,4,4
1573000,4,4
1574000,4,4
1575000,4,4
1576000,4,4
1577000,4,4
1578000,4,4
1579000,4,4
1580000,4,4
1581000,4,4
1582000,4,4
1583000,6,6
1584000,6,6
1585000,6,6
1586000,6,6
1587000,6,6
1588000,6,6
1589000,6,6
1590000,6,6
1591000,4,4
1592000,4,4
1593000,4,4
1594000,4,4
1595000,4,4
1596000,4,4
1599000,4,4
1600000,4,4
1601000,4,4
1602000,4,4
1603000,4,4
1604000,4,4
1605000,4,4
1606000,4,4
1607000,4,4
1608000,4,4
1609000,5,5
1610000,4,4
1611000,4,4
1612000,4,4
1613000,4,4
1614000,6,6
1615000,6,6
1616000,6,6
1617000,6,6
1618000,6,6
1619000,6,6
1620000,6,6
1621000,6,6
1622000,4,4
1623000,4,4
1624000,4,4
1625000,4,4
1626000,4,4
1627000,4,4
1628000,6,6
1629000,6,6
1630000,4,4
1631000,4,4
1632000,4,4
1633000,4,4
1634000,4,4
1637000,4,4
1638000,4,4
1639000,4,4
1640000,4,4
1641000,5,5
1642000,5,5
1643000,5,5
1644000,4,4
1645000,4,4
1648000,6,6
1649000,6,6
1650000,6,6
1651000,6,6
1652000,5,5
1653000,5,5
1654000,5,5
1655000,5,5
1656000,4,4
1657000,4,4
1658000,4,4
1659000,4,4
1660000,4,4
1661000,4,4
1662000,4,4
1663000,4,4
1664000,6,6
1665000,4,4
1666000,4,4
1667000,4,4
1668000,4,4
1669000,4,4
1670000,4,4
1671000,4,4
1672000,4,4
1673000,4,4
1674000,4,4
1675000,4,4
1676000,4,4
1677000,4,4
1678000,4,4
1679000,4,4
1680000,4,4
1681000,4,4
1682000,4,4
1683000,6,6
1684000,6,6
1685000,6,6
1686000,6,6
1687000,5,5
1688000,5,5
1689000,5,5
1690000,5,5
1691000,4,4
1692000,4,4
1693000,4,4
1694000,4,4
1695000,4,4
1696000,4,4
1697000,4,4
1699000,4,4
1700000,4,4
1701000,4,4
1702000,4,4
1703000,15,13-16
1704000,15,13-16
1705000,4,4
1706000,4,4
1707000,6,6
1708000,6,6
1709000,6,6
1710000,6,6
1711000,5,5
1712000,5,5
1713000,5,5
1714000,5,5
1715000,4,4
1716000,4,4
1717000,4,4
1718000,4,4
1719000,4,4
1720000,4,4
1721000,4,4
1722000,4,4
1723000,4,4
1724000,4,4
1725000,4,4
1726000,6,6
1727000,6,6
1728000,6,6
1729000,6,6
1730000,5,5
1731000,5,5
1732000,5,5
1733000,5,5
1734000,4,4
1735000,4,4
1736000,4,4
1737000,4,4
1738000,4,4
1739000,4,4
1740000,4,4
1741000,4,4
1742000,4,4
1743000,4,4
1744000,4,4
1745000,4,4
1746000,6,6
1747000,6,6
1748000,6,6
