cnn,corridor,limits,monthly_frequency,frequency_group,days_cleaned,time_ranges,schedule_summary,block_sides,street_sides,heatmap_cells,holidays
12127000,Steiner St,Fulton St  -  McAllister St,40,31-40,"Fri, Wed",9 AM - 11 AM,"Fri 9 AM - 11 AM, Wed 9 AM - 11 AM","East, West","L, R","Fri|8-10, Wed|8-10",0
12128000,Steiner St,McAllister St  -  Golden Gate Ave,40,31-40,"Fri, Wed",9 AM - 11 AM,"Fri 9 AM - 11 AM, Wed 9 AM - 11 AM","East, West","L, R","Fri|8-10, Wed|8-10",0
12129000,Steiner St,Golden Gate Ave  -  Turk St,40,31-40,"Fri, Wed",9 AM - 11 AM,"Fri 9 AM - 11 AM, Wed 9 AM - 11 AM","East, West","L, R","Fri|8-10, Wed|8-10",0
1213000,23rd Ave,Clement St  -  Geary Blvd,36,31-40,"Thu, Tues",8 AM - 10 AM,"Thu 8 AM - 10 AM, Tues 8 AM - 10 AM","East, West","L, R","Thu|8-10, Tues|8-10",0
12130000,Steiner St,Turk St  -  Eddy St,40,31-40,"Fri, Wed",9 AM - 11 AM,"Fri 9 AM - 11 AM, Wed 9 AM - 11 AM","East, West","L, R","Fri|8-10, Wed|8-10",0
12131000,Steiner St,Eddy St  -  Ellis St,40,31-40,"Fri, Wed",9 AM - 11 AM,"Fri 9 AM - 11 AM, Wed 9 AM - 11 AM","East, West","L, R","Fri|8-10, Wed|8-10",0
12132000,Steiner St,Ellis St  -  O'Farrell St,48,41-50,"Fri, Tues","6 AM - 8 AM, 9 AM - 11 AM","Fri 9 AM - 11 AM, Tues 6 AM - 8 AM","East, West","L, R","Fri|8-10, Tues|6-8",0
12133000,Steiner St,O'Farrell St  -  Geary Blvd,56,51-60,"Mon, Tues",6 AM - 8 AM,"Mon 6 AM - 8 AM, Tues 6 AM - 8 AM","East, West","L, R","Mon|6-8, Tues|6-8",0
12134000,Steiner St,Geary Blvd  -  Post St,52,51-60,"Mon, Tues","11 AM - 1 PM, 6 AM - 8 AM","Mon 11 AM - 1 PM, Tues 6 AM - 8 AM","East, West","L, R","Mon|10-12, Tues|6-8",0
12135000,Steiner St,Post St  -  Sutter St,50,41-50,"Mon, Wed","11 AM - 1 PM, 12 PM - 2 PM","Mon 11 AM - 1 PM, Wed 12 PM - 2 PM","East, West","L, R","Mon|10-12, Wed|12-14",0
12136000,Steiner St,Sutter St  -  Bush St,60,51-60,"Fri, Mon, Tues","11 AM - 1 PM, 8 AM - 10 AM","Fri 8 AM - 10 AM, Mon 11 AM - 1 PM, Tues 8 AM - 10 AM","East, West","L, R","Fri|8-10, Mon|10-12, Tues|8-10",0
12137000,Steiner St,Bush St  -  Wilmot St,50,41-50,"Mon, Wed","11 AM - 1 PM, 12 PM - 2 PM","Mon 11 AM - 1 PM, Wed 12 PM - 2 PM","East, West","L, R","Mon|10-12, Wed|12-14",0
12138000,Steiner St,Wilmot St  -  Pine St,50,41-50,"Mon, Wed","11 AM - 1 PM, 12 PM - 2 PM","Mon 11 AM - 1 PM, Wed 12 PM - 2 PM","East, West","L, R","Mon|10-12, Wed|12-14",0
